ARN 	 Ar N 	 18 7
Spherophorus 	 S P H Er O P H O Ru S 	 16 15 1 68 8 15 1 8 44 16
Success 	 S U C C Es S 	 16 92 6 6 99 16
Suisses 	 S U I S S Es 	 16 92 53 16 16 99
Tarentin 	 Ta Re N Ti N 	 73 75 7 22 7
Tarentines 	 Ta Re N Ti N Es 	 73 75 7 22 7 99
Tarentins 	 Ta Re N Ti N S 	 73 75 7 22 7 16
Tavernier 	 Ta V Er N I Er 	 73 23 68 7 53 68
Tchouvaches 	 Tc H O U V Ac H Es 	 43 1 8 92 23 89 1 99
Thraces 	 Th Ra C Es 	 90 88 6 99
Ute 	 U Te 	 92 52
Utes 	 U Te S 	 92 52 16
Varois 	 V Ar O I S 	 23 18 8 53 16
Varoises 	 V Ar O I S Es 	 23 18 8 53 16 99
Vichyssois 	 V I C H Y S S O I S 	 23 53 6 1 39 16 16 8 53 16
Vichyssoises 	 V I C H Y S S O I S Es 	 23 53 6 1 39 16 16 8 53 16 99
Virgin 	 V I Rg I N 	 23 53 111 53 7
Watergate 	 W At Er Ga Te 	 74 85 68 31 52
acacias 	 Ac Ac I As 	 89 89 53 33
acalculies 	 Ac Al C U Li Es 	 89 13 6 92 3 99
acalla 	 Ac Al La 	 89 13 57
acallas 	 Ac Al La S 	 89 13 57 16
acalyphas 	 Ac Al Y P H As 	 89 13 39 15 1 33
acarioses 	 Ac Ar I O S Es 	 89 18 53 8 16 99
acarpes 	 Ac Ar P Es 	 89 18 15 99
acarus 	 Ac Ar U S 	 89 18 92 16
acathiste 	 Ac At H I S Te 	 89 85 1 53 16 52
acathistes 	 Ac At H I S Te S 	 89 85 1 53 16 52 16
acaulinoses 	 Ac Au Li N O S Es 	 89 79 3 7 8 16 99
accagnas 	 Ac C Ag N As 	 89 6 47 7 33
accagnasses 	 Ac C Ag N As S Es 	 89 6 47 7 33 16 99
accagnassions 	 Ac C Ag N As S I O N S 	 89 6 47 7 33 16 53 8 7 16
accagner 	 Ac C Ag N Er 	 89 6 47 7 68
accagneras 	 Ac C Ag N Er As 	 89 6 47 7 68 33
accagnerions 	 Ac C Ag N Er I O N S 	 89 6 47 7 68 53 8 7 16
accagnerons 	 Ac C Ag N Er O N S 	 89 6 47 7 68 8 7 16
accagnes 	 Ac C Ag N Es 	 89 6 47 7 99
accagnions 	 Ac C Ag N I O N S 	 89 6 47 7 53 8 7 16
accagnons 	 Ac C Ag N O N S 	 89 6 47 7 8 7 16
accession 	 Ac C Es S I O N 	 89 6 99 16 53 8 7
accessions 	 Ac C Es S I O N S 	 89 6 99 16 53 8 7 16
accessoire 	 Ac C Es S O I Re 	 89 6 99 16 8 53 75
accessoire 	 Ac C Es S O I Re 	 89 6 99 16 8 53 75
accessoires 	 Ac C Es S O I Re S 	 89 6 99 16 8 53 75 16
accessoires 	 Ac C Es S O I Re S 	 89 6 99 16 8 53 75 16
acciaccatura 	 Ac C I Ac C At U Ra 	 89 6 53 89 6 85 92 88
acciaccaturas 	 Ac C I Ac C At U Ra S 	 89 6 53 89 6 85 92 88 16
accises 	 Ac C I S Es 	 89 6 53 16 99
accises 	 Ac C I S Es 	 89 6 53 16 99
acclamons 	 Ac C La Mo N S 	 89 6 57 42 7 16
accointa 	 Ac C O I N Ta 	 89 6 8 53 7 73
accointai 	 Ac C O I N Ta I 	 89 6 8 53 7 73 53
accointais 	 Ac C O I N Ta I S 	 89 6 8 53 7 73 53 16
accointances 	 Ac C O I N Ta N C Es 	 89 6 8 53 7 73 7 6 99
accointas 	 Ac C O I N Ta S 	 89 6 8 53 7 73 16
accointasses 	 Ac C O I N Ta S S Es 	 89 6 8 53 7 73 16 16 99
accointassions 	 Ac C O I N Ta S S I O N S 	 89 6 8 53 7 73 16 16 53 8 7 16
accointe 	 Ac C O I N Te 	 89 6 8 53 7 52
